Code	Incipit	Rubrique	Fichier	Source
7GF1N3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mat. 20: 1-16	x	AELF
7GF1N3L1b	Homilía sancti Gregórii Papæ	Homilia 19 in Evangelium	x	
7GF1N3L2			x	
7GF1N3L3			x	
6GF1N3L1a	Léctio sancti Evangélii secúndum Lucam	Luc 8: 4-15	x	AELF
6GF1N3L1b	Homilía sancti Gregórii Papæ	Homilia 15 in Evangelia	x	
6GF1N3L2			x	
6GF1N3L3			x	
5GF1N3L1a	Léctio sancti Evangélii secúndum Lucam	Luc 18: 31-43	x	AELF
5GF1N3L1b	Homilía sancti Gregórii Papæ	Homilia 2 in Evangelia	x	
5GF1N3L2			x	
5GF1N3L3			x	
5GF4L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 6: 16-21	x	AELF
5GF4L1b	Homilía sancti Augustíni Epíscopi	Liber 2 de Sermone Domini in monte, cap. 12 tom. 4	x	
5GF4L2			x	
5GF4L3			x	
5GF5L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 8: 5-13	x	AELF
5GF5L1b	Homilía sancti Augustíni Epíscopi	Liber 2 de Consensu Evangelisti, cap. 20 tom. 4	x	
5GF5L2			x	
5GF5L3			x	
5GF6L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 5: 43-48; 6: 1-4	x	AELF
5GF6L1b	Homilía sancti Hierónymi Presbýteri	Liber 1 Commentarii in cap. 5 et 6 Matthæi	x	
5GF6L2			x	
5GF6L3			x	
5GF7L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 6: 47-56	x	AELF
5GF7L1b	Homilía sancti venerábilis Bedæ Presbýteri	Liber 2, cap. 28 in cap. 6 Marci, tom. 4	x	
5GF7L2			x	
5GF7L3			x	
Q1F1N3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 4: 1-11	x	AELF
Q1F1N3L1b	Homilía sancti Gregórii Papæ	Homilia 16 in Evangelia	x	
Q1F1N3L2			x	
Q1F1N3L3			x	
Q1F2L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 25: 31-46	x	AELF
Q1F2L1b	Homilía sancti Augustíni Epíscopi	Liber de fide et operibus, cap. 15 tom. 4, circa medium	x	
Q1F2L2			x	
Q1F2L3			x	
Q1F3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 21: 10-17	x	AELF
Q1F3L1b	Homilía sancti Bedæ Venerábilis Presbýteri	Homilia 7 in Quadragesima, tom. 7	x	
Q1F3L2			x	
Q1F3L3			x	
Q1F4L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 12: 38-50	x	AELF
Q1F4L1b	Homilía sancti Ambrósii Epíscopi	Liber 7 Commentarii in cap. 11 Lucæ 	x	
Q1F4L2			x	
Q1F4L3			x	
Q1F5L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 15: 21-28	x	AELF
Q1F5L1b	Homilía sancti Hierónymi Presbýteri	Liber 2 Commentarii in cap. 15 Matthæi	x	
Q1F5L2			x	
Q1F5L3			x	
Q1F6L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 5: 1-15	x	AELF
Q1F6L1b	Homilía sancti Augustíni Epíscopi	Tractatus 17 in Joannem, post initium	x	
Q1F6L2			x	
Q1F6L3			x	
Q1F7L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 17: 1-9	x	AELF
Q1F7L1b	Homilía sancti Leónis Papæ	Homilia de Transfiguratione Domini	x	
Q1F7L2			x	
Q1F7L3			x	
Q2F1N3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 17: 1-9	x	AELF
Q2F1N3L1b	Homilía sancti Leónis Papæ	Homilia de Transfiguratione Domini	x	
Q2F1N3L2			x	
Q2F1N3L3			x	
Q2F2L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 8: 21-29	x	AELF
Q2F2L1b	Homilía sancti Augustíni Epíscopi	Tractatus 38 in Joannem, post initium	x	
Q2F2L2			x	
Q2F2L3			x	
Q2F3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 23: 1-12	x	AELF
Q2F3L1b	Homilía sancti Hierónymi Presbýteri	Liber 4 Commentarii in cap. 23 Matthæi	x	
Q2F3L2			x	
Q2F3L3			x	
Q2F4L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 20: 17-28	x	AELF
Q2F4L1b	Homilía sancti Ambrósii Epíscopi	Liber 5 de fide ad Gratianum, cap. 2, post initium	x	
Q2F4L2			x	
Q2F4L3			x	
Q2F5L1a	Léctio sancti Evangélii secúndum Lucam	Luc 16: 19-31	x	AELF
Q2F5L1b	Homilía sancti Gregórii Papæ	Homilia 40 in Evangelia	x	
Q2F5L2			x	
Q2F5L3			x	
Q2F6L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 21: 33-46	x	AELF
Q2F6L1b	Homilía sancti Ambrósii Epíscopi	Liber 9 Commentarii in cap. 20 Lucæ	x	
Q2F6L2			x	
Q2F6L3			x	
Q2F7L1a	Léctio sancti Evangélii secúndum Lucam	Luc 15: 11-32	x	AELF
Q2F7L1b	Homilía sancti Ambrósii Epíscopi	Liber 8 Commentarii in cap. 15 Lucæ, post initium	x	
Q2F7L2			x	
Q2F7L3			x	
Q3F1N3L1a	Léctio sancti Evangélii secúndum Lucam	Luc 11: 14-28	x	AELF
Q3F1N3L1b	Homilía sancti Bedæ Venerábilis Presbýteri	Liber 4, cap. 48, in cap. 11 Lucæ	x	
Q3F1N3L2			x	
Q3F1N3L3			x	
Q3F2L1a	Léctio sancti Evangélii secúndum Lucam	Luc 4: 23-30	x	AELF
Q3F2L1b	Homilía sancti Ambrósii Epíscopi	Liber 4 Commentarii in cap. 4 Lucæ, post medium	x	
Q3F2L2			x	
Q3F2L3			x	
Q3F3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 18: 15-22	x	AELF
Q3F3L1b	Homilía sancti Augustíni Epíscopi	Sermo 16 de Verbis Domini, tomus 10, post initium	x	
Q3F3L2			x	
Q3F3L3			x	
Q3F4L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 15: 1-20	x	AELF
Q3F4L1b	Homilía sancti Hierónymi Presbýteri	Liber 2 Commentarii in cap. 15 Matthæi	x	
Q3F4L2			x	
Q3F4L3			x	
Q3F5L1a	Léctio sancti Evangélii secúndum Lucam	Luc 4: 38-44	x	AELF
Q3F5L1b	Homilía sancti Ambrósii Epíscopi	Liber 4 in cap. 4 Lucæ, circa finem	x	
Q3F5L2			x	
Q3F5L3			x	
Q3F6L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 4: 5-42	x	AELF
Q3F6L1b	Homilía sancti Augustíni Epíscopi	Tractatus 15 in Joannem, post initium	x	
Q3F6L2			x	
Q3F6L3			x	
Q3F7L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 8: 1-11	x	AELF
Q3F7L1b	Homilía sancti Augustíni Epíscopi	Tractatus 33 in Joannem, post initium	x	
Q3F7L2			x	
Q3F7L3			x	
Q4F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 6: 1-15	x	AELF
Q4F1N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 24 in Joannem	x	
Q4F1N3L2			x	
Q4F1N3L3			x	
Q4F2L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 2: 13-25	x	AELF
Q4F2L1b	Homilía sancti Augustíni Epíscopi	Tractatus 10 in Joannem, post initium	x	
Q4F2L2			x	
Q4F2L3			x	
Q4F3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 7: 14-31	x	AELF
Q4F3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 29 in Joannem, sub initio	x	
Q4F3L2			x	
Q4F3L3			x	
Q4F4L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 9: 1-38	x	AELF
Q4F4L1b	Homilía sancti Augustíni Epíscopi	Tractatus 44 in Joannem, circa initium	x	
Q4F4L2			x	
Q4F4L3			x	
Q4F5L1a	Léctio sancti Evangélii secúndum Lucam	Luc 7: 11-16	x	AELF
Q4F5L1b	Homilía sancti Ambrósii Epíscopi	Liber 5 Commentarii in Lucam cap. 7, post initium	x	
Q4F5L2			x	
Q4F5L3			x	
Q4F6L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 11: 1-45	x	AELF
Q4F6L1b	Homilía sancti Augustíni Epíscopi	Tractatus 49 in Joannem, post initium	x	
Q4F6L2			x	
Q4F6L3			x	
Q4F7L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 8: 12-20	x	AELF
Q4F7L1b	Homilía sancti Augustíni Epíscopi	Tractatus 34 in Joannem, post initium	x	
Q4F7L2			x	
Q4F7L3			x	
Q5F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 8: 46-59	x	AELF
Q5F1N3L1b	Homilía sancti Gregórii Papæ	Homilia 18 in Evangelia	x	
Q5F1N3L2			x	
Q5F1N3L3			x	
Q5F2L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 7: 32-39	x	AELF
Q5F2L1b	Homilía sancti Augustíni Epíscopi	Tractatus 31 in Joannem, circa medium	x	
Q5F2L2			x	
Q5F2L3			x	
Q5F3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 7: 1-13	x	AELF
Q5F3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 28 in Joannem	x	
Q5F3L2			x	
Q5F3L3			x	
Q5F4L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 10: 22-38	x	AELF
Q5F4L1b	Homilía sancti Augustíni Epíscopi	Tractatus 48 in Joannem, circa initium	x	
Q5F4L2			x	
Q5F4L3			x	
Q5F5L1a	Léctio sancti Evangélii secúndum Lucam	Luc 7: 36-50	x	AELF
Q5F5L1b	Homilía sancti Gregórii Papæ	Homilia 33 in Evangelia	x	
Q5F5L2			x	
Q5F5L3			x	
Q5F6L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 11: 47-54	x	AELF
Q5F6L1b	Homilía sancti Augustíni Epíscopi	Tractatus 49 in Joannem, sub fine	x	
Q5F6L2			x	
Q5F6L3			x	
Q5F7L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 12: 10-36	x	AELF
Q5F7L1b	Homilía sancti Augustíni Epíscopi	Tractatus 50 in Joannem, in fine	x	
Q5F7L2			x	
Q5F7L3			x	
Q6F1N3L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 21: 1-9	x	AELF
Q6F1N3L1b	Homilía sancti Ambrósii Epíscopi	Liber 9 Commentarii in Lucam	x	
Q6F1N3L2			x	
Q6F1N3L3			x	
Q6F2L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 12: 1-9	x	AELF
Q6F2L1b	Homilía sancti Augustíni Epíscopi	Tractatus 50 in Joannem, post initium	x	
Q6F2L2			x	
Q6F2L3			x	
P0F1L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 1-7	x	AELF
P0F1L1b	Homilía sancti Gregórii Papæ	Homilia 21 in Evangelia	x	
P0F1L2			x	
P0F1L3			x	
P0F2L1a	Léctio sancti Evangélii secúndum Lucam	Luc 24: 13-35	x	AELF
P0F2L1b	Homilía sancti Gregórii Papæ	Homilia 23 in Evangelia	x	
P0F2L2			x	
P0F2L3			x	
P0F3L1a	Léctio sancti Evangélii secúndum Lucam	Luc 24: 36-47	x	AELF
P0F3L1b	Homilía sancti Ambrósii Epíscopi	Liber 10 Commentarii in Lucam cap. 24, ante finem	x	
P0F3L2			x	
P0F3L3			x	
P0F4L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 21: 1-14	x	AELF
P0F4L1b	Homilía sancti Gregórii Papæ	Homilia 24 in Evangelia	x	
P0F4L2			x	
P0F4L3			x	
P0F5L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 20: 11-18	x	AELF
P0F5L1b	Homilía sancti Gregórii Papæ	Homilia 25 in Evangelia	x	
P0F5L2			x	
P0F5L3			x	
P0F6L1a	Léctio sancti Evangélii secúndum Matthǽum	Mt. 28: 16-20	x	AELF
P0F6L1b	Homilía sancti Hierónymi Presbýteri	Lib. 4 Comment. in Matth., in fine	x	
P0F6L2			x	
P0F6L3			x	
P0F7L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 20: 1-9	x	AELF
P0F7L1b	Homilía sancti Gregórii Papæ	Homilia 22 in Evangelia	x	
P0F7L2			x	
P0F7L3			x	
P1F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 20: 19-31	x	AELF
P1F1N3L1b	Homilía sancti Gregórii Papæ	Homilia 26 in Evangelia	x	
P1F1N3L2			x	
P1F1N3L3			x	
P2F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 10: 11-16	x	AELF
P2F1N3L1b	Homilía sancti Gregórii Papæ	Homilia 14 in Evangelia	x	
P2F1N3L2			x	
P2F1N3L3			x	
P3F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 16: 16-22	x	AELF
P3F1N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 101 in Joannem, sub fine	x	
P3F1N3L2			x	
P3F1N3L3			x	
P4F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 16: 5-14	x	AELF
P4F1N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 94 in Joannem, initio	x	
P4F1N3L2			x	
P4F1N3L3			x	
P5F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 16: 23-30	x	AELF
P5F1N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 102 in Joannem	x	
P5F1N3L2			x	
P5F1N3L3			x	
P5F2L1a	Léctio sancti Evangélii secúndum Lucam	Luc 11: 5-13	x	AELF
P5F2L1b	Homilía sancti Ambrósii Epíscopi	Liber 7 in Lucæ, cap. 11	x	
P5F2L2			x	
P5F2L3			x	
P5F4L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 17: 1-11	x	AELF
P5F4L1b	Homilía sancti Augustíni Epíscopi	Tractatus 104 in Joannem, sub medio	x	
P5F4L2			x	
P5F4L3			x	
P5F5N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P5F5N3L1b	Homilía sancti Gregórii Papæ	Homilia 29 in Evangelia	x	
P5F5N3L2			x	
P5F5N3L3			x	
P5F6N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P5F6N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x	
P5F6N3L2			x	
P5F6N3L3			x	
P5F7N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P5F7N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x	
P5F7N3L2			x	
P5F7N3L3			x	
P6F1N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 15: 26-27; 16: 1-4	x	AELF
P6F1N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 92 in Joannem	x	
P6F1N3L2			x	
P6F1N3L3			x	
P6F2N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P6F2N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x	
P6F2N3L2			x	
P6F2N3L3			x	
P6F3N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P6F3N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x	
P6F3N3L2			x	
P6F3N3L3			x	
P6F4N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P6F4N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x	
P6F4N3L2			x	
P6F4N3L3			x	
P6F5N3L1a	Léctio sancti Evangélii secúndum Marcum	Mc. 16: 14-20	x	AELF
P6F5N3L1b	Homilía sancti Gregórii Papæ	Ex eadem Homilía 29	x	
P6F5N3L2			x	
P6F5N3L3			x	
P6F6N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 15: 26-27; 16: 1-4	x	AELF
P6F6N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 92 in Joannem, circa medium	x	
P6F6N3L2			x	
P6F6N3L3			x	
P6F7N3L1a	Léctio sancti Evangélii secúndum Joánnem	Jn. 14: 15-21	x	AELF
P6F7N3L1b	Homilía sancti Augustíni Epíscopi	Tractatus 74 in Joannem, sub finem, et 75	x	
P6F7N3L2			x	
P6F7N3L3			x	
P7F1L1a				AELF
P7F1L1b				
P7F1L2				
P7F1L3				
P7F2L1a				AELF
P7F2L1b				
P7F2L2				
P7F2L3				
P7F3L1a				AELF
P7F3L1b				
P7F3L2				
P7F3L3				
P7F4L1a				AELF
P7F4L1b				
P7F4L2				
P7F4L3				
P7F5L1a				AELF
P7F5L1b				
P7F5L2				
P7F5L3				
P7F6L1a				AELF
P7F6L1b				
P7F6L2				
P7F6L3				
P7F7L1a				AELF
P7F7L1b				
P7F7L2				
P7F7L3				
