Code	Incipit	Rubrique	Fichier	Source
7GF1N2L1	Ex libro Enchirídii sancti Augustíni Epíscopi	Cap. 25, 26 et 27 tomi 3	x	
7GF1N2L2			x	
7GF1N2L3			x	
6GF1N2L1	Ex libro sancti Ambrósii Epíscopi de Noë et arca	Cap. 4 circa medium	x	
6GF1N2L2			x	
6GF1N2L3			x	
5GF1N2L1	Ex libro sancti Ambrósii Epíscopi de Abraham Patriárcha	Liber 1, cap. 2	x	
5GF1N2L2			x	
5GF1N2L3			x	
Q1F1N2L1	Sermo sancti Leónis Papæ	Sermo 4 de Quadragesima	x	
Q1F1N2L2			x	
Q1F1N2L3			x	
Q2F1N2L1	Ex libro sancti Augustíni Epíscopi contra mendacium	Cap. 10 tomi 4, post initium	x	
Q2F1N2L2			x	
Q2F1N2L3			x	
Q3F1N2L1	Ex libro sancti Ambrósii Epíscopi de sancto Joseph	Cap. 1	x	
Q3F1N2L2			x	
Q3F1N2L3			x	
Q4F1N2L1	Sermo sancti Basílii Magni	Homilia 1 de jejunio, ante medium	x	
Q4F1N2L2			x	
Q4F1N2L3			x	
Q5F1N2L1	Sermo sancti Leónis Papæ	Sermo 9 de Quadragesima	x	
Q5F1N2L2			x	
Q5F1N2L3			x	
Q6F1N2L1	Sermo sancti Leónis Papæ	Sermo 11 de Passione Domini	x	
Q6F1N2L2			x	
Q6F1N2L3			x	
Q6F5N2L1	Ex tractátu sancti Augustíni Epíscopi super Psalmos	In Psalmum 54 ad 1 versum	x	
Q6F5N2L2			x	
Q6F5N2L3			x	
Q6F6N2L1	Ex tractátu sancti Augustíni Epíscopi super Psalmos	In Psalmum 63 ad 2 versum	x	
Q6F6N2L2			x	
Q6F6N2L3			x	
Q6F7N2L1	Ex Tractátu sancti Augustíni Epíscopi super Psalmos	In Psalmum 63 ad 7 versum	x	
Q6F7N2L2			x	
Q6F7N2L3			x	
P1F1N2L1	Sermo sancti Augustíni Epíscopi	Sermo 1 in Octava Paschæ, qui est 157 de Tempore	x	
P1F1N2L2			x	
P1F1N2L3			x	
P2F1N2L1	Sermo sancti Leónis Papæ	Sermo 1 de Ascensione Domini, post initium	x	
P2F1N2L2			x	
P2F1N2L3			x	
P3F1N2L1				
P3F1N2L2				
P3F1N2L3				
P4F1N2L1				
P4F1N2L2				
P4F1N2L3				
P5F1N2L1				
P5F1N2L2				
P5F1N2L3				
P5F5N2L1				
P5F5N2L2				
P5F5N2L3				
P5F6N2L1				
P5F6N2L2				
P5F6N2L3				
P5F7N2L1				
P5F7N2L2				
P5F7N2L3				
P6F1N2L1				
P6F1N2L2				
P6F1N2L3				
P6F2N2L1				
P6F2N2L2				
P6F2N2L3				
P6F3N2L1				
P6F3N2L2				
P6F3N2L3				
P6F4N2L1				
P6F4N2L2				
P6F4N2L3				
P6F5N2L1				
P6F5N2L2				
P6F5N2L3				
P6F6N2L1				
P6F6N2L2				
P6F6N2L3				
P6F7N2L1				
P6F7N2L2				
P6F7N2L3				
