Code	Incipit	Rubrique	Fichier	Source
7GF1N1L1	Incipit liber Génesis	Gen. 1: 1-8	x	AELF
7GF1N1L2		Gen. 1: 9-19	x	AELF
7GF1N1L3		Gen. 1: 20-26	x	AELF
7GF2L1	De libro Génesis	Gen. 1: 27-31	x	AELF
7GF2L2		Gen. 2: 1-6	x	AELF
7GF2L3		Gen. 2: 6-10	x	AELF
7GF3L1	De libro Génesis	Gen. 2: 15-18	x	AELF
7GF3L2		Gen. 2: 19-20	x	AELF
7GF3L3		Gen. 2: 21-24	x	AELF
7GF4L1	De libro Génesis	Gen. 3: 1-7	x	AELF
7GF4L2		Gen. 3: 7-13	x	AELF
7GF4L3		Gen. 3: 14-20	x	AELF
7GF5L1	De libro Génesis	Gen. 4: 1-7	x	AELF
7GF5L2		Gen. 4: 8-12	x	AELF
7GF5L3		Gen. 4: 13-16	x	AELF
7GF6L1	De libro Génesis	Gen. 4: 17-22	x	AELF
7GF6L2		Gen. 4: 23-26	x	AELF
7GF6L3		Gen. 5: 1-5	x	AELF
7GF7L1	De libro Génesis	Gen. 5: 5-21	x	AELF
7GF7L2		Gen. 5: 22-27	x	AELF
7GF7L3		Gen. 5: 28-31	x	AELF
6GF1N1L1	De libro Génesis	Gen. 5: 31; 6: 1-4	x	AELF
6GF1N1L2		Gen. 6: 5-8	x	AELF
6GF1N1L3		Gen. 6: 9-15	x	AELF
6GF2L1	De libro Génesis	Gen. 7: 1-4	x	AELF
6GF2L2		Gen. 7: 5, 10-12	x	AELF
6GF2L3		Gen. 7: 13-14, 17	x	AELF
6GF3L1	De libro Génesis	Gen. 8: 1-4	x	AELF
6GF3L2		Gen. 8: 5-9	x	AELF
6GF3L3		Gen. 8:10-13	x	AELF
6GF4L1	De libro Génesis	Gen. 8: 15-19	x	AELF
6GF4L2		Gen. 8: 20-22	x	AELF
6GF4L3		Gen. 9: 1-6	x	AELF
6GF5L1	De libro Génesis	Gen. 9: 12-15	x	AELF
6GF5L2		Gen. 9: 20-23	x	AELF
6GF5L3		Gen. 9: 24-29	x	AELF
6GF6L1	De libro Génesis	Gen. 10: 1-6	x	AELF
6GF6L2		Gen. 11: 1-4	x	AELF
6GF6L3		Gen. 11: 5-8	x	AELF
6GF7L1	De libro Génesis	Gen. 11: 10-15	x	AELF
6GF7L2		Gen. 11: 16-23	x	AELF
6GF7L3		Gen. 11: 24-30	x	AELF
5GF1N1L1	De libro Génesis	Gen. 12: 1-6	x	AELF
5GF1N1L2		Gen. 12: 7-13	x	AELF
5GF1N1L3		Gen. 12: 14-19	x	AELF
5GF2L1	De libro Génesis	Gen. 13: 1-6	x	AELF
5GF2L2		Gen. 13: 7-11	x	AELF
5GF2L3		Gen. 13: 11-16	x	AELF
5GF3L1	De libro Génesis	Gen. 14: 8-12	x	AELF
5GF3L2		Gen. 14: 13-16	x	AELF
5GF3L3		Gen. 14: 17-20	x	AELF
Q1F1N1L1	De Epístola secúnda beáti Pauli Apóstoli ad Corínthios	2 Co. 6: 1-10	x	AELF
Q1F1N1L2		2 Co. 6: 11-16	x	AELF
Q1F1N1L3		2 Co. 7: 4-9	x	AELF
Q2F1N1L1	De libro Génesis	Gen. 27: 1-10	x	AELF
Q2F1N1L2		Gen. 27: 11-20	x	AELF
Q2F1N1L3		Gen. 27: 21-29	x	AELF
Q3F1N1L1	De libro Génesis	Gen. 37: 2-10	x	AELF
Q3F1N1L2		Gen. 37: 11-20	x	AELF
Q3F1N1L3		Gen. 37: 21-28	x	AELF
