Code	Incipit	Rubrica	File	Source	Duplicate of		
A1F1N1L1	Incipit liber Isaíæ Prophétæ	Is. 1: 1-3					
A1F1N1L2		Is. 1: 4-6					
A1F1N1L3		Is. 1: 7-9					
A1F2L1	De Isaía Prophéta	Is. 1: 16-18					
A1F2L2		Is. 1: 19-23					
A1F2L3		Is. 1: 24-28					
A1F3L1	De Isaía Prophéta	Is. 2: 1-3					
A1F3L2		Is. 2: 4-6					
A1F3L3		Is. 2: 7-9					
A1F4L1	De Isaía Prophéta	Is. 3: 1-4					
A1F4L2		Is. 3: 5-7					
A1F4L3		Is. 3: 8-11					
A1F5L1	De Isaía Prophéta	Is. 4: 1-3					
A1F5L2		Is. 5: 1-4					
A1F5L3		Is. 5: 5-7					
A1F6L1	De Isaía Prophéta	Is. 6: 1-3					
A1F6L2		Is. 6: 4-7					
A1F6L3		Is. 6: 8-10					
A1F7L1	De Isaía Prophéta	Is. 7: 1-3					
A1F7L2		Is. 7: 4-6					
A1F7L3		Is. 7: 10-15					
A2F1N1L1	De Isaía Prophéta	Is. 11: 1-4					
A2F1N1L2		Is. 11: 4-7					
A2F1N1L3		Is. 11: 8-10					
A2F2L1	De Isaía Prophéta	Is. 13: 1-4					
A2F2L2		Is. 13: 4-8					
A2F2L3		Is. 13: 9-11					
A2F3L1	De Isaía Prophéta	Is. 14: 1-2					
A2F3L2		Is. 14: 3-6					
A2F3L3		Is. 14: 12-15					
A2F4L1	De Isaía Prophéta	Is. 16: 1-4					
A2F4L2		Is. 16: 4-6					
A2F4L3		Is. 16: 7-8					
A2F5L1	De Isaía Prophéta	Is. 19: 1-2					
A2F5L2		Is. 19: 3-6					
A2F5L3		Is. 19: 11-13					
A2F6L1	De Isaía Prophéta	Is. 24: 1-3					
A2F6L2		Is. 24: 4-6					
A2F6L3		Is. 24: 7-16					
A2F7L1	De Isaía Prophéta	Is. 25: 1-4					
A2F7L2		Is. 25: 4-7					
A2F7L3		Is. 25: 8-12					
A3F1N1L1	De Isaía Prophéta	Is. 26: 1-6					
A3F1N1L2		Is. 26: 7-10					
A3F1N1L3		Is. 26: 11-14					
A3F2L1	De Isaía Prophéta	Is. 28: 1-3					
A3F2L2		Is. 28: 4-7					
A3F2L3		Is. 28: 16-18					
A3F3L1	De Isaía Prophéta	Is. 30: 18-20					
A3F3L2		Is. 30: 22-25					
A3F3L3		Is. 30: 26-28					
A3F5L1	De Isaía Prophéta	Is. 33: 1-2					
A3F5L2		Is. 33: 3-6					
A3F5L3		Is. 33: 14-17					
A4F1N1L1	De Isaía Prophéta	Is. 35: 1-7					
A4F1N1L2		Is. 35: 7-10					
A4F1N1L3		Is. 41: 1-4					
A4F2L1	De Isaía Prophéta	Is. 41: 8-10					
A4F2L2		Is. 41: 11-13					
A4F2L3		Is. 41: 14-16					
A4F3L1	De Isaía Prophéta	Is. 42: 1-4					
A4F3L2		Is. 42: 5-7					
A4F3L3		Is. 42: 10-13					
A4F4L1	De Isaía Prophéta	Is. 51: 1-3					
A4F4L2		Is. 51: 4-6					
A4F4L3		Is. 51: 7-8					
A4F5L1	De Isaía Prophéta	Is. 64: 1-4					
A4F5L2		Is. 64: 5-7					
A4F5L3		Is. 64: 8-11					
A4F6L1	De Isaía Prophéta	Is. 66: 5-8					
A4F6L2		Is. 66: 9-12					
A4F6L3		Is. 66: 13-16					
1225N1L1		Is. 9: 1-6					
1225N1L2		Is. 40: 1-8					
1225N1L3		Is. 52: 1-6					
1226N1L1	De Actibus Apostolórum	Ac. 6, 1-6					
1226N1L2		Ac. 6: 7-10; 7: 54					
1226N1L3		Ac. 7: 55-59					
1227N1L1	Incipit Epístola prima beáti Joánnis Apóstoli	1 Jn. 1: 1-5			P6F1N1L1		
1227N1L2		1 Jn. 1: 6-10			P6F1N1L2		
1227N1L3		1 Jn. 2: 1-6			P6F1N1L3		
1228N1L1	De Jeremía Prophéta	Jr 31: 15-17					
1228N1L2		Jr 31: 18-20					
1228N1L3		Jr 31: 21-23					
1229N1L1	Incipit Epístola beáti Pauli Apóstoli ad Romános	Rm. 1: 1-7					
1229N1L2		Rm. 1: 8-12					
1229N1L3		Rm. 1: 13-19					
1230N1L1	De Epístola ad Romános	Rm. 2: 1-4					
1230N1L2		Rm. 2: 5-8					
1230N1L3		Rm. 2: 9-13					
1231N1L1	De Epístola ad Romános	Rm. 3: 19-22					
1231N1L2		Rm. 3: 23-26					
1231N1L3		Rm. 3: 27-31					
0101N1L1	De Epístola ad Romános	Rm. 4: 1-8					
0101N1L2		Rm. 4: 9-12					
0101N1L3		Rm. 4: 13-17					
N2F1N1L1	De Actibus Apostolórum	Ac. 3: 1-8				cf. P1F4L1 sq	
N2F1N1L2		Ac. 3: 9-16					
N2F1N1L3		Ac. 4: 5-12					
0102N1L1	De Epístola ad Romános	Rm. 5: 1-5					
0102N1L2		Rm. 5: 6-9					
0102N1L3		Rm. 5: 10-12					
0103N1L1	De Epístola ad Romános	Rm. 6: 1-5					
0103N1L2		Rm. 6: 6-11					
0103N1L3		Rm. 6: 12-18					
0104N1L1	De Epístola ad Romános	Rm. 7: 1-3					
0104N1L2		Rm. 7: 4-6					
0104N1L3		Rm. 7: 7-9					
0105N1L1	De Epístola ad Romános	Rm. 8: 1-4					
0105N1L2		Rm. 8: 5-9					
0105N1L3		Rm. 8: 9-11					
0106bN1L1	De Epístola ad Romános	Rm. 8: 12-16					
0106bN1L2		Rm. 8: 17-20					
0106bN1L3		Rm. 8: 21-25					
0106N1L1	De Isaía Prophéta	Is. 55: 1-4					
0106N1L2		Is. 60: 1-6					
0106N1L3		Is. 61: 10-11; 62: 1					
E1F1N1L1	De Epístola beáti Pauli Apóstoli ad Colossénses	Col. 3: 12-16					
E1F1N1L2		Col. 3: 17-21					
E1F1N1L3		Col. 3: 22-25; 4: 1-2					
0107N1L1	De Epístola ad Romános	Rm. 9: 1-5					
0107N1L2		Rm. 9: 6-10					
0107N1L3		Rm. 9: 11-16					
0108N1L1	De Epístola ad Romános	Rm. 12: 1-3					
0108N1L2		Rm. 12: 4-8					
0108N1L3		Rm. 12: 9-16					
0109N1L1	De Epístola ad Romános	Rm. 13: 1-4					
0109N1L2		Rm. 13: 4-7					
0109N1L3		Rm. 13: 8-10					
0110N1L1	De Epístola ad Romános	Rm. 14: 1-4					
0110N1L2		Rm. 14: 5-8					
0110N1L3		Rm. 14: 9-13					
0111N1L1	De Epístola ad Romános	Rm. 15: 1-4					
0111N1L2		Rm. 15: 5-11					
0111N1L3		Rm. 15: 12-16					
0112N1L1	De Epístola ad Romános	Rm. 16: 1-5					
0112N1L2		Rm. 16: 17-19					
0112N1L3		Rm. 16: 21-24					
E1F1bN1L1	Incipit Epístola prima beáti Pauli Apóstoli ad Corínthios	1 Co. 1: 1-3					
E1F1bN1L2		1 Co. 1: 4-9					
E1F1bN1L3		1 Co. 1: 10-13					
E1F2L1	De Epístola prima ad Corínthios	1 Co. 2: 1-5					
E1F2L2		1 Co. 2: 6-9					
E1F2L3		1 Co. 2: 10-13					
E1F3L1	De Epístola prima ad Corínthios	1 Co. 5: 1-5					
E1F3L2		1 Co. 5: 6-8					
E1F3L3		1 Co. 5: 9-11					
E1F4L1	De Epístola prima ad Corínthios	1 Co. 6: 1-6					
E1F4L2		1 Co. 6: 7-11					
E1F4L3		1 Co. 6: 12-18					
E1F5L1	De Epístola prima ad Corínthios	1 Co. 7: 1-4					
E1F5L2		1 Co. 7: 5-9					
E1F5L3		1 Co. 7: 10-14					
E1F6L1	De Epístola prima ad Corínthios	1 Co. 13: 1-3					
E1F6L2		1 Co. 13: 4-10					
E1F6L3		1 Co. 13: 11-13					
E1F7L1	De Epístola prima ad Corínthios	1 Co. 16: 1-4					
E1F7L2		1 Co. 16: 5-9					
E1F7L3		1 Co. 16: 10-14					
E2F1N1L1	Incipit Epístola secúnda beáti Pauli Apóstoli ad Corínthios	2 Co. 1: 1-5					
E2F1N1L2		2 Co. 1: 6-7					
E2F1N1L3		2 Co. 1: 8-11					
E2F2L1	De Epístola secúnda ad Corínthios	2 Co. 3: 1-3					
E2F2L2		2 Co. 3: 4-8					
E2F2L3		2 Co. 3: 9-14					
E2F3L1	De Epístola secúnda ad Corínthios	2 Co. 5: 1-4					
E2F3L2		2 Co. 5: 6-10					
E2F3L3		2 Co. 5: 11-15					
E2F4L1	De Epístola secúnda ad Corínthios	2 Co. 7: 1-3					
E2F4L2		2 Co. 7: 4-7					
E2F4L3		2 Co. 7: 8-10					
E2F5L1	De Epístola secúnda ad Corínthios	2 Co. 10: 1-3					
E2F5L2		2 Co. 10: 4-7					
E2F5L3		2 Co. 10: 8-12					
E2F6L1	De Epístola secúnda ad Corínthios	2 Co. 12: 1-4					
E2F6L2		2 Co. 12: 5-9					
E2F6L3		2 Co. 12: 9-11					
E2F7L1	De Epístola secúnda ad Corínthios	2 Co. 13: 1-4					
E2F7L2		2 Co. 13: 5-9					
E2F7L3		2 Co. 13: 10-13					
E3F1N1L1	Incipit Epístola beáti Pauli Apóstoli ad Gálatas	Ga. 1: 1-5					
E3F1N1L2		Ga. 1: 6-10					
E3F1N1L3		Ga. 1: 11-14					
