Code	Incipit	Rubrica	File	Source	Duplicate of
A1F1N2L1	Sermo sancti Leónis Papæ	Sermo 8 de jejunio decimi mensis et eleemosynis			
A1F1N2L2					
A1F1N2L3					
A2F1N2L1	De Expositióne sancti Hierónymi Presbýteri in Isaíam Prophétam	Liber 4 in cap. 11 Isaiæ			
A2F1N2L2					
A2F1N2L3					
A3F1N2L1	Sermo sancti Leónis Papæ	Sermo 2 de jejunio decimi mensis et collectis			
A3F1N2L2					
A3F1N2L3					
A4F1N2L1	Sermo sancti Leónis Papæ	Sermo 1 de jejunio decimi mensis et collectis			
A4F1N2L2					
A4F1N2L3					
1225N2L1	Sermo sancti Leónis Papæ	Sermo 1 de Nativitate Domini			
1225N2L2					
1225N2L3					
1226N2L1	Sermo sancti Fulgéntii Epíscopi	Sermo 3 de Sancto Stephano, circa initium			
1226N2L2					
1226N2L3					
1227N2L1	Ex libro sancti Hierónymi Presbýteri de Scriptóribus ecclesiásticis	Cap. 9			
1227N2L2					
1227N2L3	Ex Commentáriis ejúsdem in Epístolam ad Gálatas	Liber 3, Cap. 6			
1228N2L1	Sermo sancti Augustíni Epíscopi	Sermo 10 de Sanctis			
1228N2L2					
1228N2L3					
N1F1N2L1	Sermo sancti Leónis Papæ	Sermo 9 de Nativitate Domini			
N1F1N2L2					
N1F1N2L3					
1229N2L1					
1229N2L2					
1229N2L3					
1229N3L3b		\commemo			
1230N2L1	Sermo sancti Leónis Papæ	Sermo 6 de Nativitate Domini			
1230N2L2					
1230N2L3					
1231N2L1					
1231N2L2					
1231N2L3					
1231N3L3b		\commemo			
0101N2L1	Sermo sancti Leónis Papæ	Sermo 7 de Nativitate Domini			
0101N2L2					
0101N2L3					
N2F1N2L1	Sermo sancti Bernárdi Abbátis	Sermo 15 super Cantica, circa medium			
N2F1N2L2					
N2F1N2L3					
0102N2L1	Sermo sancti Augustíni Epíscopi.	Sermo 2 de Sancto Stephano			
0102N2L2					
0102N2L3					
0102N3L3b	Sermo sancti Augustíni Epíscopi	Sermo 2 de Sancto Stephano, \commemo			
0103N2L1	Ex Tractatu sancti Augustíni Epíscopi in Joánnem	Tractatus 36 in Joannem, et \commemo			
0103N2L2					
0103N2L3					
0104N2L1	Sermo sancti Augustíni Epíscopi	Sermo 1 de Innocentibus			
0104N2L2					
0104N2L3					
0105N2L1	Sermo sancti Augustíni Epíscopi	Sermo 13 de Tempore			
0105N2L2					
0105N2L3					
0106N2L1	Sermo sancti Leónis Papæ	Sermo 2 de Epiphania			
0106N2L2					
0106N2L3					
E1F1N2L1	Ex Lítteris Apostólicis Leónis Papæ décimi tértii	Breve «Neminem fugit» 14 junii 1892			
E1F1N2L2					
E1F1N2L3					
0107N2L1	Sermo sancti Augustíni Epíscopi	Sermo 2 de Epiphania, qui est 30 de Tempore			
0107N2L2					
0107N2L3					
0108N2L1	Sermo sancti Augustíni Epíscopi	Sermo 2 de Epiphania			
0108N2L2					
0108N2L3					
0109N2L1	Sermo sancti Leónis Papæ	Sermo 1 de Epiphania			
0109N2L2					
0109N2L3					
0110N2L1	Sermo sancti Máximi Epíscopi	Homilia 1 de Epiphania			
0110N2L2					
0110N2L3					
0111N2L1	Sermo sancti Fulgéntii Epíscopi	Ex Sermone 5 qui est de Epiphania, sub initium			
0111N2L2					
0111N2L3					
0112N2L1	Sermo sancti Leónis Papæ	Sermo 4 de Epiphania			
0112N2L2					
0112N2L3					
0113N2L1					
0113N2L2					
0113N2L3					
E1F1bN2L1	Sermo sancti Leónis Papæ	Sermo 4 de Epiphania			
E1F1bN2L2					
E1F1bN2L3					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
7GF1N2L1	Ex libro Enchirídii sancti Augustíni Epíscopi	Cap. 25, 26 et 27 tomi 3	x		
7GF1N2L2			x		
7GF1N2L3			x		
6GF1N2L1	Ex libro sancti Ambrósii Epíscopi de Noë et arca	Cap. 4 circa medium	x		
6GF1N2L2			x		
6GF1N2L3			x		
5GF1N2L1	Ex libro sancti Ambrósii Epíscopi de Abraham Patriárcha	Liber 1, cap. 2	x		
5GF1N2L2			x		
5GF1N2L3			x		
Q1F1N2L1	Sermo sancti Leónis Papæ	Sermo 4 de Quadragesima	x		
Q1F1N2L2			x		
Q1F1N2L3			x		
Q2F1N2L1	Ex libro sancti Augustíni Epíscopi contra mendacium	Cap. 10 tomi 4, post initium	x		
Q2F1N2L2			x		
Q2F1N2L3			x		
Q3F1N2L1	Ex libro sancti Ambrósii Epíscopi de sancto Joseph	Cap. 1	x		
Q3F1N2L2			x		
Q3F1N2L3			x		
Q4F1N2L1	Sermo sancti Basílii Magni	Homilia 1 de jejunio, ante medium	x		
Q4F1N2L2			x		
Q4F1N2L3			x		
Q5F1N2L1	Sermo sancti Leónis Papæ	Sermo 9 de Quadragesima	x		
Q5F1N2L2			x		
Q5F1N2L3			x		
Q6F1N2L1	Sermo sancti Leónis Papæ	Sermo 11 de Passione Domini	x		
Q6F1N2L2			x		
Q6F1N2L3			x		
Q6F5N2L1	Ex tractátu sancti Augustíni Epíscopi super Psalmos	In Psalmum 54 ad 1 versum	x		
Q6F5N2L2			x		
Q6F5N2L3			x		
Q6F6N2L1	Ex tractátu sancti Augustíni Epíscopi super Psalmos	In Psalmum 63 ad 2 versum	x		
Q6F6N2L2			x		
Q6F6N2L3			x		
Q6F7N2L1	Ex Tractátu sancti Augustíni Epíscopi super Psalmos	In Psalmum 63 ad 7 versum	x		
Q6F7N2L2			x		
Q6F7N2L3			x		
P1F1N2L1	Sermo sancti Augustíni Epíscopi	Sermo 1 in Octava Paschæ, qui est 157 de Tempore	x		
P1F1N2L2			x		
P1F1N2L3			x		
P2F1N2L1	Sermo sancti Leónis Papæ	Sermo 1 de Ascensione Domini, post initium	x		
P2F1N2L2			x		
P2F1N2L3			x		
P3F1N2L1	Sermo sancti Augustíni Epíscopi	Sermo 147 de Tempore	x		
P3F1N2L2			x		
P3F1N2L3			x		
P4F1N2L1	Ex Tractátu sancti Cypriáni Epíscopi et Mártyris de bono patiéntiæ	Sermone 3 initio	x		
P4F1N2L2			x		
P4F1N2L3			x		
P5F1N2L1	Ex libro sancti Ambrósii Epíscopi de fide resurrectiónis	Post medium	x		
P5F1N2L2			x		
P5F1N2L3			x		
P5F5N2L1	Sermo sancti Leónis Papæ	Sermo 1 de Ascensione Domini	x		
P5F5N2L2			x		
P5F5N2L3			x		
P5F6N2L1	Sermo sancti Leónis Papæ	Sermo 2 de Ascensione Domini	x		
P5F6N2L2			x		
P5F6N2L3			x		
P5F7N2L1	Sermo sancti Leónis Papæ	Sermo 2 de Ascensione Domini	x		
P5F7N2L2			x		
P5F7N2L3			x		
P6F1N2L1	Sermo sancti Augustíni Epíscopi	Sermo 2 de Ascensione Domini, qui est 175 de Tempore	x		
P6F1N2L2			x		
P6F1N2L3			x		
P6F2N2L1	Sermo sancti Joánnis Chrysóstomi	Sermo de Ascensione Domini, tomus 3	x		
P6F2N2L2			x		
P6F2N2L3			x		
P6F3N2L1	Sermo sancti Máximi Epíscopi	Homilia 43, quæ est 2 de Pentecoste, ante medium	x		
P6F3N2L2			x		
P6F3N2L3			x		
P6F4N2L1	Sermo sancti Gregórii Nysséni	Oratio de Ascensione Domini	x		
P6F4N2L2			x		
P6F4N2L3			x		
P6F5N2L1	Sermo sancti Augustíni Epíscopi	Sermo 3 de Ascensione Domini, qui est 176 de Tempore	x		
P6F5N2L2			x		
P6F5N2L3			x		
P6F6N2L1	Sermo sancti Augustíni Epíscopi	Sermo 176 de Tempore, in fine	x		
P6F6N2L2			x		
P6F6N2L3			x		
P6F7N2L1	Ex Tractátu sancti Augustíni Epíscopi de Sýmbolo ad Catechúmenos	Liber 4 tomus 9, cap. 1	x		
P6F7N2L2			x		
P6F7N2L3			x		
